风机名,状态码值,状态码描述,激活时间,复位时间
,300682,变桨系统轴2桨距角偏差超限, 2019-03-31 09:47:17:640, 2019-03-31 09:50:09:400
,60004,自动解缆, 2019-03-31 10:27:01:313, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 10:31:29:449, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 11:49:31:731, 2019-03-31 12:18:51:383
,30903,变流器故障（硬件DI）, 2019-03-31 14:57:03:908, 2019-03-31 15:43:03:087
,70059,发电机冷却风扇保护, 2019-03-31 16:30:23:299, 2019-03-31 16:41:29:678
,70031,电机冷却水温度超限, 2019-03-31 17:49:37:513, 2019-03-31 18:01:12:952
,70031,电机冷却水温度超限, 2019-03-31 18:16:34:631, 2019-03-31 18:28:43:810
,70031,电机冷却水温度超限, 2019-03-31 18:42:37:190, 2019-03-31 18:55:18:269
,70031,电机冷却水温度超限, 2019-03-31 19:09:01:689, 2019-03-31 19:21:04:109
,70031,电机冷却水温度超限, 2019-03-31 19:39:58:909, 2019-03-31 19:52:50:151
,70031,电机冷却水温度超限, 2019-03-31 20:06:21:352, 2019-03-31 20:19:01:391
,70031,电机冷却水温度超限, 2019-03-31 20:32:57:013, 2019-03-31 20:45:06:472
,70031,电机冷却水温度超限, 2019-03-31 20:59:20:634, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-03-31 21:02:56:271, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-03-31 21:13:50:503, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 21:27:08:499, 2019-03-31 21:28:45:699
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 21:34:42:399, 2019-03-31 21:36:10:259
,300670,变桨系统桨距角两两偏差超限, 2019-03-31 21:35:32:804, 2019-03-31 21:36:57:264
,300670,变桨系统桨距角两两偏差超限, 2019-03-31 21:50:32:822, 2019-03-31 21:52:37:102
,20032,自检程序3转速故障2, 2019-03-31 22:41:39:071, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-03-31 22:43:17:178, 2019-03-31 22:44:25:018
,300670,变桨系统桨距角两两偏差超限, 2019-03-31 22:49:54:958, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 23:04:51:044, 2019-03-31 23:06:21:043
,300681,变桨系统轴1桨距角偏差超限, 2019-03-31 23:39:43:751, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-04-01 00:37:59:494, 2019-04-01 00:38:33:574
,300681,变桨系统轴1桨距角偏差超限, 2019-04-01 02:16:57:446, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-01 02:39:26:568, 2019-04-01 02:40:35:108
,20032,自检程序3转速故障2, 2019-04-01 03:11:27:932, 2019-04-01 03:15:48:829
,300682,变桨系统轴2桨距角偏差超限, 2019-04-01 03:34:42:307, 2019-04-01 03:35:11:547
,300683,变桨系统轴3桨距角偏差超限, 2019-04-01 04:06:08:861, 2019-04-01 04:06:36:641
,70031,电机冷却水温度超限, 2019-04-01 05:34:01:411, 2019-04-01 05:45:51:493
,70031,电机冷却水温度超限, 2019-04-01 06:05:44:958, 2019-04-01 06:17:20:101
,70031,电机冷却水温度超限, 2019-04-01 06:30:58:983, 2019-04-01 06:42:55:188
,70031,电机冷却水温度超限, 2019-04-01 06:55:02:950, 2019-04-01 07:06:56:353
,70031,电机冷却水温度超限, 2019-04-01 07:20:17:915, 2019-04-01 07:34:43:897
,70031,电机冷却水温度超限, 2019-04-01 07:47:11:540, 2019-04-01 08:02:25:784
,70031,电机冷却水温度超限, 2019-04-01 08:13:53:647, 2019-04-01 08:26:52:409
,70031,电机冷却水温度超限, 2019-04-01 08:38:34:691, 0000-00-00 00:00:00:000
,900101, 塔底DI9371-01模块故障, 2019-04-01 08:44:03:447, 2019-04-01 08:44:05:287
,80072,齿轮箱润滑油泵马达保护, 2019-04-01 09:27:53:402, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-01 12:13:00:668, 2019-04-01 12:23:34:828
,300670,变桨系统桨距角两两偏差超限, 2019-04-01 12:19:45:610, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-01 12:25:48:311, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-01 12:27:23:328, 2019-04-01 12:29:56:968
,60004,自动解缆, 2019-04-01 12:39:09:359, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-01 13:56:52:393, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-01 14:05:14:349, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-04-01 14:42:52:405, 2019-04-01 14:47:00:345
,30206,系统故障, 2019-04-01 15:30:43:438, 2019-04-01 15:31:01:018
,60005,手动偏航, 2019-04-02 09:08:13:050, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-02 11:52:54:864, 2019-04-02 12:18:10:677
,300670,变桨系统桨距角两两偏差超限, 2019-04-02 18:00:31:387, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-02 18:29:16:276, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-02 18:35:56:095, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-04-02 18:47:42:180, 2019-04-02 18:49:04:140
,80020,齿轮箱冷却水温超限, 2019-04-02 19:02:16:077, 2019-04-02 19:18:54:022
,300670,变桨系统桨距角两两偏差超限, 2019-04-02 19:25:34:135, 2019-04-02 19:30:02:195
,30206,系统故障, 2019-04-02 19:33:16:372, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-02 20:06:04:441, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-04-03 02:15:44:512, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-04-03 04:09:34:250, 2019-04-03 04:19:44:245
,30206,系统故障, 2019-04-03 04:17:12:660, 2019-04-03 06:57:00:437
