风机名,状态码值,状态码描述,激活时间,复位时间
,300683,变桨系统轴3桨距角偏差超限, 2019-05-02 18:43:27:189, 2019-05-02 18:45:46:909
,300681,变桨系统轴1桨距角偏差超限, 2019-05-02 18:52:01:806, 2019-05-02 18:55:31:966
,300681,变桨系统轴1桨距角偏差超限, 2019-05-02 19:02:11:306, 2019-05-02 19:05:41:586
,300681,变桨系统轴1桨距角偏差超限, 2019-05-02 20:23:43:821, 0000-00-00 00:00:00:000
,30112,欠速, 2019-05-02 20:30:31:130, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-05-03 03:03:30:481, 2019-05-03 03:09:34:655
,300683,变桨系统轴3桨距角偏差超限, 2019-05-03 05:10:18:539, 2019-05-03 05:22:29:654
,300682,变桨系统轴2桨距角偏差超限, 2019-05-03 06:39:39:322, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-05-03 08:49:55:200, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-04 01:17:55:324, 2019-05-04 01:28:27:079
,60004,自动解缆, 2019-05-04 01:28:32:579, 2019-05-04 01:37:11:114
,60003,右偏航限位开关动作, 2019-05-04 02:37:24:937, 2019-05-04 02:44:01:997
,60004,自动解缆, 2019-05-04 02:51:55:664, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-05-04 09:21:10:489, 2019-05-04 11:31:25:207
,800001,塔底紧停开关触发, 2019-05-05 08:37:10:962, 2019-05-05 08:39:42:582
,140011,风轮锁定1未解锁, 2019-05-05 08:46:40:481, 2019-05-05 11:51:53:022
,800070,安全链紧停, 2019-05-05 09:14:15:340, 2019-05-05 10:38:57:242
,80072,齿轮箱润滑油泵马达保护, 2019-05-05 09:16:20:209, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-05 11:46:43:051, 2019-05-05 11:47:00:271
,130107,机舱控制柜UPS2电池故障, 2019-05-05 12:15:41:760, 2019-05-05 12:19:49:340
,130106,机舱控制柜UPS1电池故障, 2019-05-05 16:46:33:424, 2019-05-05 17:40:14:867
,30206,系统故障, 2019-05-06 06:55:43:100, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-06 07:48:10:195, 2019-05-06 07:52:40:995
,30206,系统故障, 2019-05-06 08:39:02:154, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-06 08:53:15:273, 0000-00-00 00:00:00:000
,30111,超速, 2019-05-06 09:05:20:088, 2019-05-06 09:12:08:288
,30206,系统故障, 2019-05-06 12:35:28:362, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-06 14:38:20:030, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-05-06 15:39:49:876, 2019-05-06 15:44:25:590
,30206,系统故障, 2019-05-06 15:50:51:483, 2019-05-06 15:53:29:223
,30206,系统故障, 2019-05-06 16:01:09:703, 2019-05-06 16:10:28:455
,30206,系统故障, 2019-05-06 16:17:52:435, 2019-05-06 16:30:32:408
,30206,系统故障, 2019-05-06 16:38:00:068, 2019-05-06 16:39:54:068
,30206,系统故障, 2019-05-06 16:47:38:488, 2019-05-06 17:00:15:623
,30206,系统故障, 2019-05-06 17:07:25:703, 2019-05-06 17:10:42:763
,30206,系统故障, 2019-05-06 17:18:16:279, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-06 17:25:10:518, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-05-06 17:35:48:961, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-06 17:35:53:236, 2019-05-06 17:40:53:616
,30206,系统故障, 2019-05-06 17:48:13:576, 2019-05-06 18:09:07:695
,30206,系统故障, 2019-05-06 18:15:07:535, 2019-05-06 18:17:27:475
,30206,系统故障, 2019-05-06 18:22:50:935, 2019-05-06 18:25:56:555
,30903,变流器故障（硬件DI）, 2019-05-06 18:27:47:835, 2019-05-06 18:34:30:215
,30206,系统故障, 2019-05-06 18:42:06:358, 2019-05-06 18:45:02:678
,30206,系统故障, 2019-05-06 20:44:51:372, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-05-08 08:37:23:786, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-05-08 09:08:05:581, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-05-08 09:10:25:205, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-05-08 11:02:42:099, 2019-05-08 12:38:37:561
,70059,发电机冷却风扇保护, 2019-05-08 13:05:05:687, 2019-05-08 13:57:50:362
,30206,系统故障, 2019-05-08 14:22:03:813, 2019-05-08 14:23:25:193
,30206,系统故障, 2019-05-08 14:24:29:153, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-08 14:36:28:627, 2019-05-08 14:50:56:401
,60005,手动偏航, 2019-05-08 14:57:15:335, 2019-05-08 16:11:39:350
,30206,系统故障, 2019-05-08 15:04:52:089, 2019-05-08 15:06:05:969
,30206,系统故障, 2019-05-08 15:20:46:183, 2019-05-08 15:24:24:263
,30903,变流器故障（硬件DI）, 2019-05-08 16:02:01:277, 2019-05-08 16:09:56:190
,60004,自动解缆, 2019-05-08 16:36:08:884, 2019-05-08 16:49:01:363
,130102,塔底控制柜UPS2电池故障, 2019-05-09 04:26:50:521, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-05-09 08:50:03:055, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-05-09 09:12:13:153, 2019-05-09 14:56:11:674
,300683,变桨系统轴3桨距角偏差超限, 2019-05-09 13:18:17:479, 0000-00-00 00:00:00:000
,300101,变桨系统轴1的电池主开关断开, 2019-05-09 13:54:51:177, 2019-05-09 14:03:46:257
,300670,变桨系统桨距角两两偏差超限, 2019-05-09 14:24:12:340, 2019-05-09 14:30:48:562
,30206,系统故障, 2019-05-09 15:12:42:351, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-09 17:57:22:242, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-10 05:36:07:098, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-10 08:07:59:020, 2019-05-10 08:31:04:332
,30206,系统故障, 2019-05-10 08:34:41:892, 2019-05-10 08:37:17:032
,30206,系统故障, 2019-05-10 08:42:49:076, 2019-05-10 08:47:16:036
,30206,系统故障, 2019-05-10 08:50:04:716, 2019-05-10 08:50:12:536
,70059,发电机冷却风扇保护, 2019-05-10 09:19:26:591, 2019-05-10 10:26:49:411
,300682,变桨系统轴2桨距角偏差超限, 2019-05-10 09:26:34:713, 2019-05-10 09:52:46:532
,30206,系统故障, 2019-05-10 09:54:45:212, 2019-05-10 09:57:00:712
,80072,齿轮箱润滑油泵马达保护, 2019-05-10 10:12:39:771, 0000-00-00 00:00:00:000
,30106,定子过流, 2019-05-11 08:35:53:940, 2019-05-11 08:38:11:280
,30012,PT100过温, 2019-05-11 08:51:44:318, 2019-05-11 09:17:47:865
,80072,齿轮箱润滑油泵马达保护, 2019-05-11 09:46:27:680, 0000-00-00 00:00:00:000
,300102,变桨系统轴2的电池主开关断开, 2019-05-11 10:15:43:743, 2019-05-11 10:25:26:056
,20032,自检程序3转速故障2, 2019-05-11 10:22:17:530, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-05-11 12:01:00:203, 0000-00-00 00:00:00:000
,270005,机舱散热器保护, 2019-05-11 13:08:43:812, 2019-05-11 13:44:18:246
,30903,变流器故障（硬件DI）, 2019-05-12 06:33:32:797, 2019-05-12 09:04:01:059
,80072,齿轮箱润滑油泵马达保护, 2019-05-12 08:54:05:716, 2019-05-12 12:49:23:997
,300681,变桨系统轴1桨距角偏差超限, 2019-05-12 09:57:35:528, 2019-05-12 10:09:28:408
,900265, 机舱AT4222-05模块故障, 2019-05-12 10:01:20:061, 2019-05-12 10:01:22:701
,300511,桨叶1的电机温度超限, 2019-05-12 10:30:36:652, 2019-05-12 10:33:38:512
,300682,变桨系统轴2桨距角偏差超限, 2019-05-12 10:37:44:937, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-05-12 13:31:04:662, 2019-05-12 15:06:07:722
,300681,变桨系统轴1桨距角偏差超限, 2019-05-13 12:53:21:805, 2019-05-13 13:01:20:325
,30206,系统故障, 2019-05-13 20:39:02:216, 0000-00-00 00:00:00:000
,20032,自检程序3转速故障2, 2019-05-14 02:12:06:350, 0000-00-00 00:00:00:000
,60004,自动解缆, 2019-05-14 02:59:17:988, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-14 06:46:51:628, 2019-05-14 07:05:54:868
,80072,齿轮箱润滑油泵马达保护, 2019-05-14 08:32:28:655, 2019-05-14 09:20:08:386
,60006,偏航齿润滑, 2019-05-14 08:34:45:468, 2019-05-14 08:45:17:541
,800002,机舱紧停开关触发, 2019-05-14 09:32:11:250, 2019-05-14 12:08:47:547
,30206,系统故障, 2019-05-14 10:38:49:175, 2019-05-14 10:40:13:375
,70096,发电机滑环风扇保护, 2019-05-14 12:31:33:211, 2019-05-14 13:22:14:769
,60004,自动解缆, 2019-05-14 13:06:19:324, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-05-14 13:49:05:332, 2019-05-14 13:51:59:372
,300331,变桨系统轴1冗余24V电源模块报警, 2019-05-14 21:19:16:413, 2019-05-14 21:26:27:485
,60006,偏航齿润滑, 2019-05-15 04:01:35:194, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-15 08:46:11:518, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-15 10:32:14:767, 2019-05-15 10:33:53:507
,60006,偏航齿润滑, 2019-05-15 10:50:34:792, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-16 06:17:09:753, 2019-05-16 06:26:54:453
,60006,偏航齿润滑, 2019-05-16 06:17:58:578, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-16 07:52:31:157, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-16 13:23:53:375, 2019-05-16 15:12:21:175
,70059,发电机冷却风扇保护, 2019-05-16 14:05:50:398, 0000-00-00 00:00:00:000
,140011,风轮锁定1未解锁, 2019-05-16 15:08:53:865, 2019-05-16 17:25:35:839
,30903,变流器故障（硬件DI）, 2019-05-16 17:41:04:163, 2019-05-16 19:27:51:849
,140011,风轮锁定1未解锁, 2019-05-17 08:32:14:229, 2019-05-17 10:49:06:564
,80075,齿轮箱冷却风扇保护, 2019-05-17 10:07:28:986, 2019-05-17 11:43:16:072
,80080,齿轮箱冷却水泵保护, 2019-05-18 09:04:23:457, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-18 09:29:45:861, 2019-05-18 09:48:49:273
,70096,发电机滑环风扇保护, 2019-05-18 09:42:30:152, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-05-18 13:57:56:341, 2019-05-18 20:44:49:566
,60004,自动解缆, 2019-05-18 22:07:46:250, 2019-05-18 22:18:10:462
,80072,齿轮箱润滑油泵马达保护, 2019-05-19 09:11:28:330, 2019-05-19 15:46:27:745
,60006,偏航齿润滑, 2019-05-19 09:47:09:902, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-05-19 10:18:53:228, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-19 16:46:48:271, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-19 23:25:30:826, 2019-05-19 23:26:41:826
,30903,变流器故障（硬件DI）, 2019-05-20 07:03:55:190, 2019-05-20 07:07:25:230
,30903,变流器故障（硬件DI）, 2019-05-20 07:14:02:119, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 07:24:31:505, 2019-05-20 07:27:38:785
,30903,变流器故障（硬件DI）, 2019-05-20 07:55:47:529, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-05-20 07:56:55:553, 2019-05-20 07:59:07:013
,30903,变流器故障（硬件DI）, 2019-05-20 08:29:49:574, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 08:36:04:907, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 08:42:19:687, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 09:27:54:029, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 09:29:24:266, 2019-05-20 09:33:44:761
,30903,变流器故障（硬件DI）, 2019-05-20 09:43:26:233, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 09:48:39:114, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 10:47:25:103, 2019-05-20 10:50:56:223
,30903,变流器故障（硬件DI）, 2019-05-20 11:36:35:281, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 11:49:53:892, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-20 12:12:59:129, 0000-00-00 00:00:00:000
,300682,变桨系统轴2桨距角偏差超限, 2019-05-20 12:51:59:229, 2019-05-20 12:56:44:946
,30903,变流器故障（硬件DI）, 2019-05-20 14:42:36:313, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-20 22:10:00:145, 2019-05-20 22:20:36:181
,70096,发电机滑环风扇保护, 2019-05-21 09:11:48:252, 2019-05-21 09:12:26:632
,140012,风轮锁定2未解锁, 2019-05-21 09:28:57:877, 2019-05-21 14:13:47:737
,80075,齿轮箱冷却风扇保护, 2019-05-21 09:32:27:026, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-21 15:20:53:429, 0000-00-00 00:00:00:000
,300141,变桨系统电池柜1温度超限, 2019-05-21 22:54:11:011, 2019-05-21 23:04:26:802
,130106,机舱控制柜UPS1电池故障, 2019-05-22 09:36:21:646, 2019-05-22 12:49:38:294
,30903,变流器故障（硬件DI）, 2019-05-22 09:58:59:689, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-22 16:01:05:524, 2019-05-22 16:07:20:804
,80072,齿轮箱润滑油泵马达保护, 2019-05-23 10:13:52:950, 2019-05-23 14:06:55:859
,70096,发电机滑环风扇保护, 2019-05-23 12:54:50:165, 2019-05-23 14:37:59:078
,30903,变流器故障（硬件DI）, 2019-05-24 14:51:56:845, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 17:17:59:194, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 18:27:46:887, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 18:52:46:327, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 20:23:19:533, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 21:25:18:692, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 23:01:28:860, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-24 23:02:59:772, 2019-05-24 23:18:55:787
,30903,变流器故障（硬件DI）, 2019-05-24 23:56:56:578, 0000-00-00 00:00:00:000
,700003,风轮转速超速1, 2019-05-25 00:12:18:717, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 02:36:44:794, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 03:41:16:877, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 04:13:00:221, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 05:54:03:351, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 08:03:03:545, 2019-05-25 08:06:06:105
,30903,变流器故障（硬件DI）, 2019-05-25 08:21:16:408, 2019-05-25 08:23:34:368
,30903,变流器故障（硬件DI）, 2019-05-25 08:29:57:565, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 11:02:20:403, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 11:28:41:842, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 11:41:10:629, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 12:15:14:611, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 14:29:49:148, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 14:41:53:700, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-25 15:03:07:487, 2019-05-25 15:15:42:482
,30903,变流器故障（硬件DI）, 2019-05-25 15:03:35:722, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 15:48:34:246, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 15:51:40:582, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 17:42:44:352, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 18:33:30:958, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 19:37:08:999, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 21:13:15:812, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 21:41:53:872, 2019-05-25 21:45:14:992
,30903,变流器故障（硬件DI）, 2019-05-25 21:56:56:572, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-25 22:51:10:230, 2019-05-25 22:52:17:190
,30903,变流器故障（硬件DI）, 2019-05-25 22:53:24:623, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 23:18:37:017, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-25 23:37:23:417, 2019-05-25 23:38:52:217
,30903,变流器故障（硬件DI）, 2019-05-26 01:26:23:473, 2019-05-26 01:31:24:629
,30903,变流器故障（硬件DI）, 2019-05-26 02:39:57:149, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 04:48:56:547, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 07:09:12:690, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 07:52:05:705, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 09:28:38:261, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 11:13:58:403, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 11:38:09:834, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 11:58:42:563, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 12:10:03:300, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 12:20:56:980, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 15:18:59:865, 2019-05-26 15:20:19:805
,30903,变流器故障（硬件DI）, 2019-05-26 16:05:35:776, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-26 16:08:46:982, 2019-05-26 16:09:19:202
,30903,变流器故障（硬件DI）, 2019-05-26 17:03:13:102, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 17:46:15:003, 0000-00-00 00:00:00:000
,300670,变桨系统桨距角两两偏差超限, 2019-05-26 19:23:31:924, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 19:39:35:604, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-26 20:24:05:706, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-27 10:00:56:537, 2019-05-27 10:12:25:108
,30903,变流器故障（硬件DI）, 2019-05-27 15:00:25:487, 2019-05-27 15:01:46:887
,30903,变流器故障（硬件DI）, 2019-05-27 15:00:29:954, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 15:02:27:775, 2019-05-27 15:04:58:215
,30903,变流器故障（硬件DI）, 2019-05-27 15:04:02:782, 2019-05-27 15:11:57:855
,70045,发电机冷却水压力异常, 2019-05-27 15:04:10:664, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 15:24:06:457, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 16:07:49:612, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 17:20:00:492, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 18:33:31:938, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 18:51:38:913, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-27 19:34:08:869, 2019-05-27 19:37:03:969
,30903,变流器故障（硬件DI）, 2019-05-27 19:53:43:423, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-28 00:37:43:617, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-28 00:40:50:352, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-28 00:57:58:632, 2019-05-28 01:04:04:945
,30903,变流器故障（硬件DI）, 2019-05-28 01:36:20:707, 2019-05-28 01:40:59:867
,30903,变流器故障（硬件DI）, 2019-05-28 03:17:48:603, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-28 17:31:34:113, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-28 20:15:07:713, 2019-05-28 20:16:33:073
,30903,变流器故障（硬件DI）, 2019-05-28 22:00:34:358, 2019-05-28 22:05:36:716
,30903,变流器故障（硬件DI）, 2019-05-28 22:10:54:896, 2019-05-28 22:16:09:556
,30903,变流器故障（硬件DI）, 2019-05-28 22:20:39:516, 2019-05-29 09:44:53:899
,30903,变流器故障（硬件DI）, 2019-05-29 09:45:32:319, 2019-05-29 09:47:39:699
,30903,变流器故障（硬件DI）, 2019-05-29 09:50:44:659, 2019-05-29 11:24:47:669
,80076,齿轮箱冷却风扇加热器保护, 2019-05-29 10:43:26:316, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-05-29 11:27:10:629, 2019-05-29 12:02:23:026
,30903,变流器故障（硬件DI）, 2019-05-29 12:02:55:666, 0000-00-00 00:00:00:000
,70096,发电机滑环风扇保护, 2019-05-29 15:00:45:136, 2019-05-29 15:28:54:110
,80075,齿轮箱冷却风扇保护, 2019-05-29 15:13:46:756, 2019-05-29 16:52:52:782
,80072,齿轮箱润滑油泵马达保护, 2019-05-30 09:33:11:790, 0000-00-00 00:00:00:000
,30206,系统故障, 2019-05-30 13:00:33:239, 2019-05-30 13:09:01:219
,30903,变流器故障（硬件DI）, 2019-05-30 15:11:35:638, 2019-05-30 15:11:48:718
,300331,变桨系统轴1冗余24V电源模块报警, 2019-05-30 22:45:29:404, 2019-05-30 22:56:42:816
,220011,紧急停机超时, 2019-05-30 23:21:53:046, 0000-00-00 00:00:00:000
,60002,左偏航限位开关动作, 2019-05-31 05:47:23:357, 0000-00-00 00:00:00:000
,60005,手动偏航, 2019-05-31 08:16:08:789, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-05-31 08:23:36:605, 2019-05-31 08:31:06:305
,220011,紧急停机超时, 2019-05-31 08:51:42:692, 2019-05-31 09:47:32:216
,220011,紧急停机超时, 2019-05-31 10:08:24:923, 2019-05-31 10:44:23:798
,220011,紧急停机超时, 2019-05-31 10:49:41:351, 0000-00-00 00:00:00:000
,50002,液压泵保护, 2019-05-31 10:53:05:088, 2019-05-31 15:04:28:404
,80075,齿轮箱冷却风扇保护, 2019-05-31 13:29:11:511, 2019-05-31 15:05:05:967
,60006,偏航齿润滑, 2019-05-31 22:17:51:579, 2019-05-31 22:27:52:171
,60004,自动解缆, 2019-06-01 02:57:02:991, 2019-06-01 07:16:29:167
,140011,风轮锁定1未解锁, 2019-06-01 09:45:45:464, 2019-06-01 13:22:48:064
,140011,风轮锁定1未解锁, 2019-06-01 11:19:12:574, 2019-06-01 14:49:16:821
,80072,齿轮箱润滑油泵马达保护, 2019-06-01 13:54:02:221, 2019-06-01 14:24:56:894
,50035,液压站2主压力过低, 2019-06-01 20:24:59:500, 2019-06-01 20:32:31:455
,60006,偏航齿润滑, 2019-06-01 23:14:46:836, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-06-02 00:35:29:470, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-06-02 01:33:52:323, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-06-02 01:40:19:862, 0000-00-00 00:00:00:000
,60006,偏航齿润滑, 2019-06-02 02:06:14:891, 0000-00-00 00:00:00:000
,70059,发电机冷却风扇保护, 2019-06-02 09:03:03:473, 2019-06-02 09:17:17:407
,80030,齿轮箱油位过低, 2019-06-02 09:35:42:138, 2019-06-02 09:53:32:672
,140012,风轮锁定2未解锁, 2019-06-02 09:52:40:484, 2019-06-02 16:49:48:856
,300681,变桨系统轴1桨距角偏差超限, 2019-06-02 13:21:27:839, 2019-06-02 13:37:19:212
,30903,变流器故障（硬件DI）, 2019-06-02 15:16:10:059, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-02 20:02:25:649, 2019-06-02 20:11:59:104
,300101,变桨系统轴1的电池主开关断开, 2019-06-03 07:11:11:166, 0000-00-00 00:00:00:000
,100321,电网频率低于下限值, 2019-06-03 07:12:13:523, 0000-00-00 00:00:00:000
,100321,电网频率低于下限值, 2019-06-03 07:19:03:949, 0000-00-00 00:00:00:000
,300311,变桨系统轴1驱动器故障, 2019-06-03 07:19:07:384, 0000-00-00 00:00:00:000
,300331,变桨系统轴1冗余24V电源模块报警, 2019-06-03 07:25:17:466, 0000-00-00 00:00:00:000
,300311,变桨系统轴1驱动器故障, 2019-06-03 07:25:24:093, 0000-00-00 00:00:00:000
,160101,机舱消防控制系统故障, 2019-06-03 07:31:56:155, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-03 20:27:51:690, 2019-06-03 20:59:40:105
,30903,变流器故障（硬件DI）, 2019-06-03 20:27:52:875, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-03 20:27:54:313, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-03 20:27:56:222, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-03 20:28:15:833, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-03 20:29:41:920, 2019-06-15 14:40:15:471
,130106,机舱控制柜UPS1电池故障, 2019-06-04 01:28:13:489, 2019-06-04 08:48:29:388
,130102,塔底控制柜UPS2电池故障, 2019-06-04 01:29:15:973, 0000-00-00 00:00:00:000
,300681,变桨系统轴1桨距角偏差超限, 2019-06-04 01:48:12:481, 0000-00-00 00:00:00:000
,190011,发电机定子避雷器保护动作, 2019-06-04 03:51:00:353, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-04 08:23:51:188, 2019-06-04 08:24:41:688
,30903,变流器故障（硬件DI）, 2019-06-04 08:41:09:791, 0000-00-00 00:00:00:000
,300311,变桨系统轴1驱动器故障, 2019-06-04 09:25:21:601, 0000-00-00 00:00:00:000
,30903,变流器故障（硬件DI）, 2019-06-04 10:08:22:924, 0000-00-00 00:00:00:000
